doy,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
123,,0.318,0.316,0.254,0.354,0.241,0.192,0.175,0.326,0.434,0.328,0.235,0.345,0.276,0.354,0.271,0.358,0.44,0.291,0.349,0.264,0.316,
124,,0.306,0.341,0.251,0.375,0.233,0.196,0.186,0.345,0.445,0.281,0.22,0.362,0.288,0.405,0.257,0.302,0.43,0.297,0.357,0.24,0.302,
125,,0.309,0.346,0.211,0.391,0.206,0.224,0.227,0.289,0.393,0.27,0.237,0.267,0.254,0.312,0.264,0.302,0.434,0.268,0.37,0.251,0.286,
126,,0.311,0.374,0.196,0.441,0.173,0.255,0.228,0.303,0.4,0.251,0.199,0.31,0.255,0.33,0.223,0.26,0.412,0.294,0.386,0.228,0.266,
127,,0.344,0.377,0.171,0.416,0.193,0.255,0.209,0.293,0.387,0.268,0.193,0.282,0.243,0.323,0.235,0.214,0.391,0.255,0.369,0.211,0.305,
128,,0.323,0.384,0.161,0.41,0.183,0.266,0.201,0.274,0.39,0.255,0.196,0.3,0.242,0.29,0.224,0.276,0.349,0.27,0.368,0.238,0.202,
129,,0.332,0.396,0.177,0.421,0.196,0.283,0.135,0.287,0.382,0.307,0.193,0.275,0.231,0.308,0.219,0.272,0.321,0.261,0.369,0.197,0.253,
130,,0.335,0.373,0.16,0.399,0.189,0.279,0.166,0.227,0.388,0.278,0.178,0.251,0.232,0.271,0.198,0.276,0.319,0.3,0.302,0.202,0.263,
131,,0.333,0.362,0.151,0.399,0.18,0.263,0.125,0.239,0.378,0.286,0.118,0.252,0.206,0.282,0.155,0.21,0.301,0.305,0.345,0.205,0.267,
132,,0.368,0.343,0.132,0.389,0.163,0.263,0.091,0.221,0.371,0.302,0.139,0.174,0.196,0.268,0.198,0.215,0.287,0.273,0.32,0.197,0.267,
133,,0.292,0.299,0.15,0.373,0.15,0.23,0.134,0.21,0.315,0.302,0.116,0.227,0.227,0.283,0.176,0.236,0.251,0.288,0.319,0.172,0.23,
134,,0.33,0.302,0.128,0.38,0.19,0.248,0.131,0.188,0.293,0.352,0.128,0.201,0.19,0.239,0.197,0.23,0.261,0.27,0.325,0.174,0.278,
135,,0.323,0.304,0.165,0.334,0.142,0.227,0.133,0.181,0.317,0.329,0.136,0.252,0.255,0.26,0.213,0.261,0.246,0.277,0.303,0.149,0.241,
136,,0.323,0.227,0.128,0.356,0.178,0.195,0.102,0.185,0.295,0.336,0.126,0.184,0.286,0.248,0.227,0.232,0.219,0.243,0.3,0.133,0.233,
137,,0.312,0.242,0.131,0.318,0.17,0.172,0.116,0.171,0.279,0.307,0.116,0.216,0.294,0.218,0.173,0.229,0.222,0.258,0.308,0.144,0.213,
138,,0.31,0.226,0.119,0.36,0.196,0.175,0.111,0.171,0.298,0.338,0.103,0.23,0.315,0.224,0.14,0.18,0.228,0.243,0.31,0.133,0.211,
139,,0.311,0.234,0.092,0.311,0.214,0.178,0.109,0.174,0.271,0.325,0.106,0.232,0.344,0.228,0.164,0.232,0.218,0.231,0.293,0.169,0.224,
140,,0.296,0.182,0.131,0.317,0.14,0.159,0.077,0.162,0.316,0.309,0.064,0.23,0.378,0.222,0.115,0.269,0.2,0.235,0.285,0.132,0.201,
141,,0.288,0.188,0.069,0.312,0.156,0.149,0.067,0.17,0.264,0.312,0.137,0.222,0.356,0.202,0.166,0.287,0.22,0.19,0.27,0.135,0.221,
142,,0.272,0.213,0.089,0.28,0.142,0.115,0.082,0.167,0.278,0.279,0.087,0.223,0.352,0.196,0.154,0.231,0.16,0.194,0.25,0.13,0.216,
143,,0.27,0.207,0.087,0.282,0.159,0.115,0.047,0.152,0.254,0.312,0.099,0.22,0.326,0.195,0.148,0.189,0.168,0.174,0.294,0.087,0.248,
144,,0.264,0.233,0.077,0.25,0.128,0.098,0.06,0.151,0.268,0.273,0.112,0.202,0.341,0.19,0.136,0.257,0.163,0.183,0.224,0.1,0.234,
145,,0.232,0.194,0.084,0.275,0.151,0.077,0.055,0.158,0.266,0.286,0.065,0.161,0.336,0.184,0.13,0.273,0.138,0.173,0.298,0.088,0.22,
146,,0.212,0.2,0.086,0.214,0.111,0.075,0.107,0.159,0.229,0.244,0.102,0.179,0.332,0.182,0.137,0.21,0.172,0.149,0.252,0.121,0.221,
