doy,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
84,,0.333,,0.391,0.51,0.385,0.603,0.606,0.658,0.602,0.442,0.388,0.39,0.702,0.538,0.447,0.478,0.345,0.54,0.384,0.383,0.519,
85,,0.316,,0.413,0.617,0.379,0.556,0.545,0.658,0.595,0.443,0.365,0.39,0.733,0.534,0.46,0.474,0.348,0.536,0.406,0.391,0.49,
86,,0.306,,0.363,0.638,0.35,0.538,0.523,0.581,0.561,0.419,0.363,0.347,0.738,0.498,0.45,0.465,0.343,0.526,0.398,0.41,0.479,
87,,0.391,0.409,0.38,0.627,0.311,0.531,0.499,0.575,0.572,0.398,0.35,0.364,0.7,0.483,0.451,0.466,0.302,0.513,0.388,0.396,0.429,
88,,0.415,0.415,0.349,0.638,0.34,0.523,0.454,0.551,0.573,0.394,0.334,0.311,0.691,0.441,0.446,0.446,0.299,0.459,0.389,0.396,0.433,
89,,0.441,0.379,0.337,0.596,0.346,0.515,0.455,0.513,0.569,0.437,0.343,0.334,0.687,0.428,0.432,0.437,0.281,0.494,0.364,0.396,0.376,
90,,0.444,0.358,0.345,0.572,0.346,0.499,0.44,0.477,0.562,0.458,0.323,0.327,0.662,0.41,0.451,0.373,0.271,0.501,0.378,0.442,0.381,
91,,0.401,0.347,0.334,0.502,0.327,0.485,0.419,0.477,0.534,0.477,0.328,0.321,0.627,0.38,0.462,0.35,0.27,0.501,0.348,0.461,0.368,
92,,0.388,0.292,0.385,0.483,0.341,0.457,0.406,0.459,0.511,0.497,0.307,0.323,0.612,0.369,0.468,0.351,0.258,0.484,0.394,0.43,0.351,
93,,0.385,0.314,0.435,0.447,0.308,0.477,0.406,0.455,0.49,0.493,0.324,0.306,0.599,0.368,0.499,0.329,0.275,0.496,0.417,0.412,0.369,
94,,0.372,0.307,0.46,0.439,0.319,0.458,0.405,0.416,0.495,0.491,0.308,0.312,0.599,0.368,0.489,0.284,0.256,0.477,0.437,0.331,0.347,
95,,0.397,0.302,0.495,0.429,0.301,0.5,0.397,0.427,0.468,0.476,0.312,0.306,0.543,0.352,0.481,0.298,0.264,0.447,0.455,0.362,0.348,
96,,0.365,0.312,0.489,0.428,0.272,0.517,0.405,0.413,0.455,0.453,0.297,0.312,0.502,0.331,0.476,0.294,0.277,0.456,0.448,0.344,0.399,
97,,0.359,0.32,0.489,0.436,0.313,0.544,0.344,0.445,0.422,0.438,0.264,0.323,0.508,0.335,0.492,0.301,0.251,0.422,0.434,0.351,0.446,
98,,0.364,0.315,0.489,0.41,0.321,0.457,0.346,0.461,0.438,0.401,0.274,0.355,0.484,0.329,0.464,0.308,0.27,0.434,0.404,0.345,0.44,
99,,0.332,0.344,0.527,0.429,0.337,0.47,0.312,0.448,0.416,0.396,0.247,0.368,0.464,0.326,0.45,0.314,0.23,0.425,0.376,0.324,0.427,
100,,0.327,0.262,0.527,0.458,0.413,0.474,0.333,0.437,0.422,0.381,0.263,0.384,0.481,0.3,0.402,0.317,0.238,0.428,0.387,0.335,0.408,
101,,0.361,0.278,0.509,0.462,0.399,0.485,0.306,0.42,0.41,0.379,0.194,0.395,0.473,0.311,0.366,0.304,0.224,0.407,0.355,0.294,0.411,
102,,0.362,0.285,0.466,0.465,0.39,0.475,0.279,0.401,0.406,0.382,0.236,0.434,0.452,0.313,0.366,0.306,0.201,0.378,0.351,0.312,0.456,
103,,0.356,0.28,0.441,0.425,0.357,0.437,0.279,0.397,0.407,0.357,0.258,0.443,0.453,0.313,0.311,0.285,0.209,0.373,0.333,0.258,0.479,
104,,0.362,0.291,0.392,0.419,0.35,0.439,0.254,0.395,0.363,0.366,0.252,0.435,0.435,0.33,0.302,0.276,0.223,0.375,0.355,0.295,0.462,
105,,0.397,,0.368,0.4,0.362,0.415,0.269,0.401,0.38,0.341,0.256,0.412,0.433,0.329,0.282,0.288,0.22,0.392,0.347,0.296,0.453,
106,,0.399,0.31,0.336,0.387,0.359,0.397,0.209,0.407,0.392,0.365,0.238,0.384,0.404,0.358,0.301,0.251,0.225,0.376,0.341,0.287,0.442,
