doy,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
118,,0.341,0.213,0.222,0.296,0.257,0.254,0.117,0.302,0.318,0.239,0.137,0.297,0.282,0.192,0.225,0.314,0.402,0.232,0.304,0.201,0.294,
119,,0.315,0.2,0.218,0.272,0.238,0.242,0.117,0.303,0.315,0.217,0.135,0.292,0.277,0.223,0.22,0.321,0.41,0.23,0.304,0.196,0.278,
120,,0.283,0.193,0.206,0.275,0.237,0.245,0.101,0.299,0.311,0.22,0.149,0.285,0.249,0.229,0.178,0.326,0.375,0.207,0.309,0.193,0.261,
121,,0.267,0.193,0.195,0.273,0.213,0.242,0.092,0.298,0.3,0.216,0.15,0.275,0.193,0.228,0.17,0.281,0.375,0.208,0.3,0.187,0.25,
122,,0.244,0.238,0.192,0.234,0.214,0.237,0.093,0.3,0.296,0.217,0.14,0.264,0.185,0.229,0.184,0.288,0.36,0.192,0.301,0.19,0.255,
123,,0.245,0.236,0.188,0.168,0.198,0.224,0.1,0.283,0.28,0.217,0.14,0.253,0.188,0.23,0.174,0.282,0.348,0.173,0.317,0.194,0.258,
124,,0.24,0.237,0.186,0.178,0.192,0.214,0.095,0.279,0.278,0.192,0.134,0.233,0.172,0.233,0.169,0.266,0.327,0.168,0.335,0.192,0.264,
125,,0.238,0.231,0.162,0.162,0.191,0.218,0.112,0.266,0.269,0.11,0.143,0.192,0.17,0.215,0.158,0.251,0.305,0.163,0.345,0.192,0.261,
126,,0.237,0.244,0.158,0.213,0.186,0.223,0.112,0.266,0.263,0.082,0.129,0.197,0.172,0.215,0.149,0.244,0.279,0.162,0.353,0.184,0.256,
127,,0.245,0.235,0.142,0.211,0.189,0.223,0.107,0.259,0.248,0.09,0.124,0.189,0.171,0.215,0.151,0.213,0.265,0.152,0.321,0.176,0.255,
128,,0.231,0.235,0.139,0.21,0.177,0.222,0.103,0.25,0.251,0.088,0.125,0.185,0.164,0.211,0.143,0.214,0.24,0.152,0.31,0.171,0.243,
129,,0.231,0.236,0.136,0.216,0.18,0.222,0.096,0.251,0.24,0.098,0.117,0.178,0.162,0.209,0.144,0.201,0.228,0.151,0.307,0.159,0.229,
130,,0.226,0.229,0.134,0.218,0.176,0.214,0.095,0.227,0.24,0.09,0.111,0.187,0.157,0.194,0.142,0.204,0.23,0.158,0.3,0.158,0.216,
131,,0.227,0.224,0.14,0.242,0.172,0.212,0.099,0.229,0.235,0.091,0.101,0.185,0.145,0.173,0.135,0.186,0.204,0.155,0.307,0.158,0.22,
132,,0.227,0.214,0.137,0.244,0.166,0.208,0.097,0.216,0.228,0.118,0.098,0.175,0.143,0.176,0.136,0.18,0.204,0.138,0.279,0.156,0.222,
