doy,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
122,,0.3,0.248,0.252,0.223,0.242,0.256,0.157,0.349,0.308,0.29,0.125,0.29,0.273,0.253,0.199,0.303,0.378,0.292,0.291,0.248,0.297,
123,,0.278,0.253,0.249,0.208,0.24,0.249,0.154,0.306,0.267,0.284,0.136,0.267,0.273,0.25,0.217,0.319,0.367,0.255,0.279,0.252,0.31,
124,,0.261,0.266,0.249,0.21,0.211,0.245,0.16,0.329,0.286,0.28,0.142,0.283,0.291,0.27,0.214,0.298,0.351,0.268,0.261,0.24,0.289,
125,,0.26,0.255,0.227,0.149,0.221,0.241,0.171,0.279,0.269,0.316,0.159,0.248,0.277,0.248,0.21,0.298,0.343,0.235,0.285,0.269,0.284,
126,,0.265,0.29,0.213,0.301,0.201,0.285,0.171,0.283,0.277,0.267,0.129,0.273,0.292,0.255,0.162,0.283,0.333,0.252,0.29,0.238,0.27,
127,,0.274,0.278,0.193,0.301,0.209,0.295,0.172,0.285,0.267,0.26,0.12,0.255,0.291,0.25,0.184,0.254,0.303,0.218,0.28,0.22,0.273,
128,,0.265,0.304,0.187,0.302,0.198,0.301,0.174,0.268,0.26,0.225,0.144,0.247,0.272,0.242,0.178,0.253,0.279,0.224,0.286,0.232,0.231,
129,,0.252,0.3,0.191,0.303,0.21,0.31,0.155,0.252,0.266,0.229,0.109,0.25,0.272,0.242,0.174,0.228,0.264,0.259,0.287,0.201,0.235,
130,,0.27,0.271,0.173,0.299,0.202,0.323,0.186,0.253,0.265,0.215,0.117,0.25,0.257,0.223,0.177,0.236,0.271,0.243,0.266,0.214,0.248,
131,,0.255,0.266,0.149,0.314,0.187,0.338,0.163,0.259,0.258,0.225,0.094,0.246,0.255,0.216,0.124,0.214,0.261,0.241,0.285,0.17,0.253,
132,,0.28,0.241,0.121,0.291,0.183,0.314,0.137,0.223,0.251,0.247,0.102,0.188,0.25,0.211,0.159,0.229,0.262,0.201,0.275,0.199,0.257,
133,,0.223,0.241,0.14,0.255,0.174,0.237,0.171,0.221,0.234,0.221,0.098,0.231,0.267,0.211,0.159,0.215,0.235,0.226,0.263,0.182,0.242,
134,,0.26,0.214,0.134,0.282,0.187,0.252,0.192,0.22,0.225,0.249,0.104,0.206,0.216,0.21,0.193,0.213,0.237,0.237,0.273,0.186,0.245,
135,,0.258,0.213,0.167,0.23,0.165,0.253,0.185,0.19,0.228,0.241,0.108,0.241,0.24,0.203,0.222,0.218,0.236,0.224,0.247,0.179,0.262,
136,,0.25,0.199,0.123,0.256,0.179,0.214,0.215,0.196,0.236,0.251,0.122,0.211,0.249,0.22,0.263,0.216,0.195,0.216,0.232,0.161,0.25,
137,,0.25,0.192,0.149,0.241,0.17,0.216,0.197,0.176,0.216,0.249,0.106,0.213,0.247,0.178,0.192,0.217,0.222,0.204,0.242,0.16,0.254,
138,,0.232,0.181,0.128,0.213,0.18,0.204,0.195,0.189,0.207,0.252,0.075,0.225,0.255,0.179,0.15,0.19,0.213,0.215,0.246,0.151,0.24,
139,,0.269,0.174,0.12,0.231,0.178,0.198,0.175,0.182,0.172,0.26,0.084,0.22,0.256,0.186,0.157,0.194,0.207,0.193,0.24,0.165,0.235,
140,,0.243,0.144,0.129,0.235,0.128,0.183,0.155,0.18,0.206,0.249,0.065,0.224,0.244,0.189,0.138,0.249,0.179,0.211,0.233,0.146,0.225,
141,,0.246,0.121,0.106,0.24,0.161,0.169,0.124,0.179,0.16,0.242,0.08,0.204,0.235,0.182,0.14,0.25,0.187,0.185,0.229,0.157,0.234,
142,,0.236,0.172,0.096,0.205,0.14,0.148,0.13,0.183,0.174,0.218,0.091,0.214,0.273,0.176,0.131,0.223,0.174,0.194,0.201,0.149,0.233,
143,,0.238,0.172,0.111,0.203,0.156,0.163,0.103,0.179,0.164,0.236,0.088,0.211,0.247,0.181,0.131,0.207,0.127,0.185,0.246,0.099,0.244,
144,,0.23,0.2,0.094,0.18,0.138,0.14,0.108,0.187,0.167,0.228,0.099,0.206,0.265,0.159,0.115,0.23,0.144,0.171,0.196,0.121,0.24,
145,,0.189,0.157,0.1,0.194,0.144,0.11,0.089,0.192,0.164,0.239,0.064,0.195,0.278,0.157,0.112,0.246,0.11,0.19,0.227,0.106,0.22,
146,,0.189,0.156,0.106,0.186,0.142,0.109,0.157,0.189,0.148,0.206,0.069,0.155,0.276,0.15,0.121,0.232,0.147,0.168,0.217,0.141,0.244,
147,,0.18,0.167,0.103,0.154,0.138,0.101,0.183,0.202,0.157,0.188,0.102,0.157,0.298,0.141,0.126,0.211,0.127,0.17,0.203,0.11,0.218,
148,,0.223,0.17,0.086,0.178,0.115,0.116,0.217,0.171,0.106,0.193,0.09,0.147,0.278,0.122,0.135,0.201,0.134,0.161,0.215,0.102,0.233,
149,,0.206,0.15,0.137,0.146,0.107,0.139,0.234,0.168,0.144,0.141,0.053,0.14,0.307,0.122,0.121,0.182,0.097,0.16,0.175,0.11,0.194,
150,,0.209,0.15,0.084,0.194,0.113,0.153,0.245,0.123,0.128,0.197,0.064,0.12,0.248,0.131,0.105,0.187,0.106,0.146,0.222,0.098,0.199,
151,,0.169,0.158,0.086,0.133,0.109,0.172,0.231,0.12,0.131,0.185,0.104,0.138,0.261,0.116,0.089,0.184,0.097,0.143,0.207,0.089,0.179,
152,,0.18,0.11,0.107,0.158,0.103,0.174,0.224,0.108,0.129,0.17,0.15,0.126,0.238,0.113,0.1,0.169,0.076,0.115,0.209,0.074,0.179,
