doy,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
105,,0.445,,0.382,0.374,0.324,0.421,0.233,0.365,0.362,0.294,0.218,0.417,0.407,0.34,0.272,0.24,0.209,0.328,0.344,0.256,0.473,
106,,0.442,0.311,0.317,0.379,0.303,0.407,0.172,0.366,0.353,0.303,0.238,0.374,0.405,0.344,0.303,0.245,0.414,0.317,0.346,0.26,0.45,
107,,0.429,0.297,0.322,0.353,0.289,0.394,0.205,0.363,0.378,0.268,0.257,0.368,0.373,0.398,0.301,0.244,0.44,0.304,0.334,0.235,0.462,
108,,0.464,0.284,0.322,0.363,0.334,0.384,0.196,0.359,0.347,0.296,0.201,0.35,0.349,0.359,0.298,0.226,0.467,0.301,0.326,0.233,0.456,
109,,0.486,0.28,0.31,0.33,0.348,0.366,0.189,0.348,0.337,0.281,0.181,0.325,0.361,0.348,0.314,0.247,0.501,0.296,0.302,0.233,0.431,
110,,0.502,0.272,0.296,0.356,0.359,0.345,0.164,0.338,0.333,0.284,0.148,0.32,0.352,0.329,0.286,0.247,0.516,0.291,0.333,0.214,0.404,
111,,0.517,0.273,0.268,0.349,0.357,0.351,0.156,0.299,0.324,0.284,0.16,0.354,0.337,0.289,0.287,0.261,0.557,0.253,0.281,0.213,0.406,
112,,0.528,0.278,0.296,0.323,0.382,0.307,0.169,0.319,0.326,0.252,0.131,0.356,0.333,0.252,0.243,0.229,0.484,0.246,0.273,0.211,0.381,
113,,0.545,0.273,0.258,0.337,0.336,0.355,0.115,0.322,0.327,0.247,0.131,0.365,0.309,0.228,0.259,0.199,0.441,0.192,0.284,0.219,0.389,
114,,0.449,0.28,0.251,0.273,0.329,0.283,0.123,0.322,0.326,0.194,0.129,0.37,0.323,0.224,0.254,0.242,0.436,0.218,0.272,0.192,0.304,
115,,0.423,0.272,0.24,0.319,0.312,0.318,0.104,0.323,0.3,0.22,0.107,0.371,0.261,0.209,0.253,0.293,0.352,0.184,0.277,0.165,0.32,
116,,0.414,0.28,0.215,0.3,0.29,0.331,0.107,0.323,0.311,0.21,0.127,0.386,0.27,0.176,0.217,0.341,0.448,0.2,0.297,0.166,0.31,
117,,0.387,0.259,0.223,0.293,0.276,0.318,0.091,0.325,0.304,0.213,0.109,0.343,0.243,0.186,0.214,0.346,0.425,0.185,0.296,0.143,0.283,
118,,0.363,0.264,0.212,0.277,0.235,0.31,0.091,0.318,0.289,0.21,0.116,0.29,0.221,0.172,0.211,0.456,0.436,0.184,0.307,0.172,0.299,
119,,0.327,0.247,0.208,0.244,0.237,0.302,0.09,0.308,0.301,0.197,0.099,0.287,0.222,0.181,0.197,0.481,0.469,0.168,0.326,0.167,0.274,
120,,0.315,0.233,0.193,0.262,0.224,0.328,0.081,0.332,0.296,0.187,0.118,0.257,0.2,0.18,0.187,0.546,0.428,0.154,0.333,0.183,0.265,
121,,0.261,0.235,0.175,0.248,0.21,0.309,0.084,0.316,0.265,0.187,0.129,0.244,0.176,0.18,0.174,0.307,0.362,0.155,0.344,0.165,0.243,
122,,0.287,0.216,0.173,0.25,0.216,0.301,0.061,0.301,0.268,0.189,0.096,0.218,0.172,0.191,0.182,0.35,0.324,0.148,0.313,0.173,0.284,
123,,0.26,0.227,0.178,0.215,0.21,0.26,0.069,0.273,0.25,0.195,0.111,0.212,0.173,0.193,0.162,0.314,0.328,0.136,0.338,0.174,0.273,
124,,0.261,0.22,0.158,0.22,0.212,0.253,0.057,0.284,0.262,0.188,0.086,0.2,0.129,0.202,0.155,0.269,0.298,0.133,0.354,0.174,0.258,
125,,0.249,0.205,0.13,0.187,0.225,0.245,0.064,0.245,0.249,0.057,0.121,0.173,0.128,0.205,0.14,0.27,0.291,0.125,0.379,0.171,0.266,
126,,0.24,0.192,0.125,0.138,0.232,0.222,0.061,0.274,0.245,0.058,0.092,0.185,0.125,0.182,0.139,0.25,0.255,0.134,0.403,0.167,0.264,
127,,0.231,0.211,0.105,0.148,0.221,0.23,0.049,0.244,0.239,0.058,0.082,0.167,0.119,0.188,0.142,0.232,0.247,0.097,0.361,0.155,0.286,
128,,0.197,0.198,0.091,0.159,0.256,0.192,0.054,0.275,0.226,0.067,0.078,0.162,0.111,0.167,0.112,0.219,0.227,0.121,0.34,0.143,0.255,
129,,0.213,0.173,0.096,0.159,0.249,0.211,0.069,0.246,0.208,0.064,0.09,0.145,0.089,0.164,0.126,0.178,0.209,0.102,0.32,0.124,0.254,
130,,0.181,0.181,0.098,0.162,0.241,0.195,0.055,0.244,0.185,0.061,0.073,0.148,0.12,0.153,0.108,0.195,0.233,0.103,0.313,0.124,0.211,
131,,0.191,0.168,0.14,0.189,0.24,0.19,0.048,0.25,0.183,0.058,0.062,0.134,0.127,0.19,0.12,0.19,0.179,0.088,0.36,0.162,0.224,
132,,0.179,0.163,0.118,0.181,0.225,0.195,0.052,0.192,0.172,0.055,0.073,0.133,0.137,0.205,0.105,0.184,0.204,0.091,0.335,0.127,0.234,
